ranking,name,age,weight,gender,height,ufc_wins,ufc_loses,ufc_draws,ufc_no_contests,mma_wins,mma_loses,mma_draws,mma_no_contests
,Zhu Rong,21,155,Male,69,1,1,,,18,4,,
,Rafael Alves,31,155,Male,68,1,1,,,20,10,,
,Terrance Mckinney,27,155,Male,70,1,0,,,11,3,,
,Paddy Pimblett,26,155,Male,70,1,0,,,17,3,,
,Brandon Jenkins,30,155,Male,72,0,1,,,15,8,,
,Mike Breeden,32,155,Male,70,0,1,,,10,4,,
,Erick Gonzalez,29,155,Male,71,0,1,,,14,6,,
,David Onama,27,155,Male,71,0,1,,,8,1,,
,Cub Swanson,38,145,Male,67,17,11,,,27,12,,
,Darren Elkins,37,145,Male,70,16,8,,,26,9,,
,Daniel Pineda,36,145,Male,67,4,5,,1,27,14,,1
,Andre Fili,31,145,Male,71,9,7,,1,21,8,,1
,Zubaira Tukhugov,30,145,Male,68,5,2,1,,20,5,1,
,Chas Skelly,36,145,Male,71,7,4,,,18,4,,
,Damon Jackson,33,145,Male,71,2,2,1,1,19,3,1,1
,Charles Rosa,35,145,Male,69,5,6,,,14,6,,
,Gabriel Benitez,33,145,Male,68,6,5,,,22,9,,
,Doo Ho Choi,30,145,Male,70,3,3,,,14,4,,
,Makwan Amirkhani,33,145,Male,70,6,5,,,16,7,,
,Ryan Hall,36,145,Male,70,4,1,,,8,2,,
,Lando Vannata,29,145,Male,69,4,5,2,,12,5,2,
,Kevin Aguilar,33,145,Male,67,2,4,,,17,5,,
,Ricardo Ramos,26,145,Male,69,6,3,,,15,4,,
,Gavin Tucker,35,145,Male,67,4,2,,,13,2,,
,Danny Henry,33,145,Male,71,2,2,,,12,4,,
,Zabit Magomedsharipov,30,145,Male,73,6,0,,,18,1,,
,Shane Young,28,145,Male,68,2,3,,,13,6,,
,Steven Peterson,31,145,Male,69,3,3,,,19,9,,
,Hakeem Dawodu,30,145,Male,68,5,2,,,12,2,1,
,Ricky Simon,29,145,Male,66,6,2,,,18,3,,
,Charles Jourdain,25,145,Male,69,2,3,1,,11,4,1,
